Prompt,Current_Hour,Start_Hour,Expected_Hours
"You check your phone, and see that the current time is 9:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",9PM,11AM,10
"You check your phone, and see that the current time is 9:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",9PM,10AM,11
"You check your phone, and see that the current time is 9:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",9PM,9AM,12
"You check your phone, and see that the current time is 10:00PM. You realize that, since 9:00PM, the amount of hours that has passed is",10PM,9PM,1
"You check your phone, and see that the current time is 10:00PM. You realize that, since 8:00PM, the amount of hours that has passed is",10PM,8PM,2
"You check your phone, and see that the current time is 10:00PM. You realize that, since 7:00PM, the amount of hours that has passed is",10PM,7PM,3
"You check your phone, and see that the current time is 10:00PM. You realize that, since 6:00PM, the amount of hours that has passed is",10PM,6PM,4
"You check your phone, and see that the current time is 10:00PM. You realize that, since 5:00PM, the amount of hours that has passed is",10PM,5PM,5
"You check your phone, and see that the current time is 10:00PM. You realize that, since 4:00PM, the amount of hours that has passed is",10PM,4PM,6
"You check your phone, and see that the current time is 10:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",10PM,3PM,7
"You check your phone, and see that the current time is 10:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",10PM,2PM,8
"You check your phone, and see that the current time is 10:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",10PM,1PM,9
"You check your phone, and see that the current time is 10:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",10PM,12PM,10
"You check your phone, and see that the current time is 10:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",10PM,11AM,11
"You check your phone, and see that the current time is 10:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",10PM,10AM,12
"You check your phone, and see that the current time is 11:00PM. You realize that, since 10:00PM, the amount of hours that has passed is",11PM,10PM,1
"You check your phone, and see that the current time is 11:00PM. You realize that, since 9:00PM, the amount of hours that has passed is",11PM,9PM,2
"You check your phone, and see that the current time is 11:00PM. You realize that, since 8:00PM, the amount of hours that has passed is",11PM,8PM,3
"You check your phone, and see that the current time is 11:00PM. You realize that, since 7:00PM, the amount of hours that has passed is",11PM,7PM,4
"You check your phone, and see that the current time is 11:00PM. You realize that, since 6:00PM, the amount of hours that has passed is",11PM,6PM,5
"You check your phone, and see that the current time is 11:00PM. You realize that, since 5:00PM, the amount of hours that has passed is",11PM,5PM,6
"You check your phone, and see that the current time is 11:00PM. You realize that, since 4:00PM, the amount of hours that has passed is",11PM,4PM,7
"You check your phone, and see that the current time is 11:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",11PM,3PM,8
"You check your phone, and see that the current time is 11:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",11PM,2PM,9
"You check your phone, and see that the current time is 11:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",11PM,1PM,10
"You check your phone, and see that the current time is 11:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",11PM,12PM,11
"You check your phone, and see that the current time is 11:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",11PM,11AM,12
"You check your phone, and see that the current time is 12:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",12AM,11PM,1
"You check your phone, and see that the current time is 12:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",12AM,10PM,2
"You check your phone, and see that the current time is 12:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",12AM,9PM,3
"You check your phone, and see that the current time is 12:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",12AM,8PM,4
"You check your phone, and see that the current time is 12:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",12AM,7PM,5
"You check your phone, and see that the current time is 12:00AM. You realize that, since 6:00PM, the amount of hours that has passed is",12AM,6PM,6
"You check your phone, and see that the current time is 12:00AM. You realize that, since 5:00PM, the amount of hours that has passed is",12AM,5PM,7
"You check your phone, and see that the current time is 12:00AM. You realize that, since 4:00PM, the amount of hours that has passed is",12AM,4PM,8
"You check your phone, and see that the current time is 12:00AM. You realize that, since 3:00PM, the amount of hours that has passed is",12AM,3PM,9
"You check your phone, and see that the current time is 12:00AM. You realize that, since 2:00PM, the amount of hours that has passed is",12AM,2PM,10
"You check your phone, and see that the current time is 12:00AM. You realize that, since 1:00PM, the amount of hours that has passed is",12AM,1PM,11
"You check your phone, and see that the current time is 12:00AM. You realize that, since 12:00PM, the amount of hours that has passed is",12AM,12PM,12
